area,crimes
0,1
1,2780
2,2445
3,2747
4,1352
5,1055
6,4108
7,2989
8,6412
9,169
10,842
11,869
12,326
13,623
14,1698
15,2359
16,1967
17,1106
18,342
19,3478
20,1298
21,1651
22,3651
23,6571
24,5388
25,13248
26,4346
27,4100
28,5467
29,6055
30,3541
31,1974
32,5187
33,1270
34,912
35,1822
36,450
37,655
38,2509
39,1050
40,2145
41,1041
42,2886
43,6526
44,4464
45,1044
46,3754
47,308
48,1135
49,5288
50,844
51,1634
52,927
53,3115
54,991
55,452
56,1356
57,756
58,2142
59,754
60,1323
61,3784
62,705
63,1872
64,686
65,1467
66,4638
67,5428
68,5070
69,4819
70,1727
71,5766
72,633
73,2260
74,477
75,1522
76,1420
77,1702
